pressure,diameter,alpha,beta,gamma,error,converged
0.3,0.2,-0.35,1.25,0.75,36.20368306502485,True
0.3,0.2,-0.35,1.25,0.775,33.02202945110882,True
0.3,0.2,-0.35,1.25,0.8,30.018655919428813,True
0.3,0.2,-0.35,1.25,0.8250000000000001,27.238805116804212,True
0.3,0.2,-0.35,1.25,0.8500000000000001,24.749072608089925,True
0.3,0.2,-0.35,1.25,0.8750000000000001,22.674657466909213,True
0.3,0.2,-0.35,1.25,0.9000000000000001,21.270980679804744,False
0.3,0.2,-0.35,1.25,0.9250000000000002,20.560092868986374,False
0.3,0.2,-0.35,1.25,0.9500000000000002,20.286557705061494,False
0.3,0.2,-0.35,1.25,0.9750000000000002,20.306777891348574,True
0.3,0.2,-0.35,1.3,0.75,30.886598954644647,True
0.3,0.2,-0.35,1.3,0.775,27.804743124353593,True
0.3,0.2,-0.35,1.3,0.8,24.964244192169833,False
0.3,0.2,-0.35,1.3,0.8250000000000001,22.4215581504831,False
0.3,0.2,-0.35,1.3,0.8500000000000001,20.254823802137178,False
0.3,0.2,-0.35,1.3,0.8750000000000001,18.58704612309732,True
0.3,0.2,-0.35,1.3,0.9000000000000001,17.647669216525546,True
0.3,0.2,-0.35,1.3,0.9250000000000002,17.423743617581383,True
0.3,0.2,-0.35,1.3,0.9500000000000002,17.629655249414856,False
0.3,0.2,-0.35,1.3,0.9750000000000002,18.118027369567244,False
0.3,0.2,-0.35,1.35,0.75,25.710185786114078,False
0.3,0.2,-0.35,1.35,0.775,22.832461195324658,True
0.3,0.2,-0.35,1.35,0.8,20.29642446915644,True
0.3,0.2,-0.35,1.35,0.8250000000000001,18.172088788790965,True
0.3,0.2,-0.35,1.35,0.8500000000000001,16.520200577742393,False
0.3,0.2,-0.35,1.35,0.8750000000000001,15.43031613913065,False
0.3,0.2,-0.35,1.35,0.9000000000000001,15.07992505028741,False
0.3,0.2,-0.35,1.35,0.9250000000000002,15.438553615192882,False
0.3,0.2,-0.35,1.35,0.9500000000000002,16.23065548216815,False
0.3,0.2,-0.35,1.35,0.9750000000000002,17.289073320187935,False
0.3,0.2,-0.3,1.25,0.75,28.57357702904493,True
0.3,0.2,-0.3,1.25,0.775,25.594745803415304,True
0.3,0.2,-0.3,1.25,0.8,22.909825511950608,True
0.3,0.2,-0.3,1.25,0.8250000000000001,20.578764243719622,True
0.3,0.2,-0.3,1.25,0.8500000000000001,18.669814726851193,True
0.3,0.2,-0.3,1.25,0.8750000000000001,17.289320907298084,True
0.3,0.2,-0.3,1.25,0.9000000000000001,16.64204007419693,True
0.3,0.2,-0.3,1.25,0.9250000000000002,16.706070463693862,True
0.3,0.2,-0.3,1.25,0.9500000000000002,17.199943659882624,True
0.3,0.2,-0.3,1.25,0.9750000000000002,17.97519270947049,True
0.3,0.2,-0.3,1.3,0.75,23.52300151058084,True
0.3,0.2,-0.3,1.3,0.775,20.85855425355311,True
0.3,0.2,-0.3,1.3,0.8,18.60533582693597,True
0.3,0.2,-0.3,1.3,0.8250000000000001,16.81974646547524,True
0.3,0.2,-0.3,1.3,0.8500000000000001,15.538109585055158,True
0.3,0.2,-0.3,1.3,0.8750000000000001,14.823338675037826,True
0.3,0.2,-0.3,1.3,0.9000000000000001,14.846443255566006,True
0.3,0.2,-0.3,1.3,0.9250000000000002,15.563724019982132,True
0.3,0.2,-0.3,1.3,0.9500000000000002,16.67608765383647,True
0.3,0.2,-0.3,1.3,0.9750000000000002,18.02256236631457,True
0.3,0.2,-0.3,1.35,0.75,19.067000475611117,True
0.3,0.2,-0.3,1.35,0.775,16.979050685028206,True
0.3,0.2,-0.3,1.35,0.8,15.445123485803729,True
0.3,0.2,-0.3,1.35,0.8250000000000001,14.46988190023094,True
0.3,0.2,-0.3,1.35,0.8500000000000001,14.024139791331148,True
0.3,0.2,-0.3,1.35,0.8750000000000001,14.121044892386527,True
0.3,0.2,-0.3,1.35,0.9000000000000001,14.911773909246438,True
0.3,0.2,-0.3,1.35,0.9250000000000002,16.36606099363907,True
0.3,0.2,-0.3,1.35,0.9500000000000002,18.215522099797944,True
0.3,0.2,-0.3,1.35,0.9750000000000002,20.310901456390894,True
0.3,0.2,-0.25,1.25,0.75,21.935339023008446,True
0.3,0.2,-0.25,1.25,0.775,19.564474542306932,True
0.3,0.2,-0.25,1.25,0.8,17.67137277652854,True
0.3,0.2,-0.25,1.25,0.8250000000000001,16.289804771547253,True
0.3,0.2,-0.25,1.25,0.8500000000000001,15.42958458412873,True
0.3,0.2,-0.25,1.25,0.8750000000000001,15.134819027872021,True
0.3,0.2,-0.25,1.25,0.9000000000000001,15.56770302843697,True
0.3,0.2,-0.25,1.25,0.9250000000000002,16.687089730345924,True
0.3,0.2,-0.25,1.25,0.9500000000000002,18.208056657855565,True
0.3,0.2,-0.25,1.25,0.9750000000000002,19.984701205275144,True
