pressure,diameter,alpha,beta,gamma,error,converged
0.4,0.18,-0.4,0.75,0.75,144.336645414436,True
0.4,0.18,-0.4,0.75,0.85,122.93608778664941,True
0.4,0.18,-0.4,0.75,0.95,100.6447487570473,True
0.4,0.18,-0.4,0.75,1.0499999999999998,89.62880646912065,True
0.4,0.18,-0.4,0.95,0.75,128.8916405805551,True
0.4,0.18,-0.4,0.95,0.85,104.56840070235808,True
0.4,0.18,-0.4,0.95,0.95,79.57020060984905,True
0.4,0.18,-0.4,0.95,1.0499999999999998,67.18240963757118,True
0.4,0.18,-0.4,1.15,0.75,110.54583676404825,True
0.4,0.18,-0.4,1.15,0.85,83.13308309374806,True
0.4,0.18,-0.4,1.15,0.95,55.56531495461609,True
0.4,0.18,-0.4,1.15,1.0499999999999998,45.61070433469885,True
0.4,0.18,-0.4,1.3499999999999999,0.75,89.90418731506202,True
0.4,0.18,-0.4,1.3499999999999999,0.85,59.48728930875825,True
0.4,0.18,-0.4,1.3499999999999999,0.95,30.999244068907487,True
0.4,0.18,-0.4,1.3499999999999999,1.0499999999999998,31.605851307586942,True
0.4,0.18,-0.2,0.75,0.75,122.92018116599684,True
0.4,0.18,-0.2,0.75,0.85,97.14154084633383,True
0.4,0.18,-0.2,0.75,0.95,71.19120851595744,True
0.4,0.18,-0.2,0.75,1.0499999999999998,59.84003287795153,True
0.4,0.18,-0.2,0.95,0.75,100.73862756367573,True
0.4,0.18,-0.2,0.95,0.85,71.38738069792223,True
0.4,0.18,-0.2,0.95,0.95,43.41012377376563,True
0.4,0.18,-0.2,0.95,1.0499999999999998,37.27821613814228,True
0.4,0.18,-0.2,1.15,0.75,74.37345877490391,True
0.4,0.18,-0.2,1.15,0.85,41.88690398194895,True
0.4,0.18,-0.2,1.15,0.95,18.182121504624874,True
0.4,0.18,-0.2,1.15,1.0499999999999998,28.593181066716287,True
0.4,0.18,-0.2,1.3499999999999999,0.75,45.069788626763675,True
0.4,0.18,-0.2,1.3499999999999999,0.85,15.135900747788673,True
0.4,0.18,-0.2,1.3499999999999999,0.95,28.137832070068992,True
0.4,0.18,-0.2,1.3499999999999999,1.0499999999999998,56.24749863731319,True
0.4,0.18,0.0,0.75,0.75,93.29241829975484,True
0.4,0.18,0.0,0.75,0.85,63.1922850661737,True
0.4,0.18,0.0,0.75,0.95,36.73332313730689,True
0.4,0.18,0.0,0.75,1.0499999999999998,34.8166631927128,True
0.4,0.18,0.0,0.95,0.75,63.038490813676624,True
0.4,0.18,0.0,0.95,0.85,31.828111166474812,True
0.4,0.18,0.0,0.95,0.95,18.995994715004787,True
0.4,0.18,0.0,0.95,1.0499999999999998,39.7100217310627,True
0.4,0.18,0.0,1.15,0.75,34.36038998773402,True
0.4,0.18,0.0,1.15,0.85,29.192030868087596,True
0.4,0.18,0.0,1.15,0.95,44.49891766394534,True
0.4,0.18,0.0,1.15,1.0499999999999998,70.01973681877466,True
0.4,0.18,0.0,1.3499999999999999,0.75,43.99076114817092,True
0.4,0.18,0.0,1.3499999999999999,0.85,57.28547531969108,True
0.4,0.18,0.0,1.3499999999999999,0.95,73.26841642555758,True
0.4,0.18,0.0,1.3499999999999999,1.0499999999999998,96.33162711492027,True
0.4,0.18,0.20000000000000007,0.75,0.75,56.38756909580818,True
0.4,0.18,0.20000000000000007,0.75,0.85,28.658106896114543,True
0.4,0.18,0.20000000000000007,0.75,0.95,24.831177568263183,True
0.4,0.18,0.20000000000000007,0.75,1.0499999999999998,47.112997334697354,True
0.4,0.18,0.20000000000000007,0.95,0.75,36.41836370169123,True
0.4,0.18,0.20000000000000007,0.95,0.85,38.45111487887029,True
0.4,0.18,0.20000000000000007,0.95,0.95,53.08127367690431,True
0.4,0.18,0.20000000000000007,0.95,1.0499999999999998,77.11250201604913,True
0.4,0.18,0.20000000000000007,1.15,0.75,53.12588817018672,True
0.4,0.18,0.20000000000000007,1.15,0.85,66.86217625077235,True
0.4,0.18,0.20000000000000007,1.15,0.95,80.88274398935114,True
0.4,0.18,0.20000000000000007,1.15,1.0499999999999998,102.36594848934476,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.75,76.50688318651082,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.85,91.7296508289254,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.95,103.0089263044401,True
0.4,0.18,0.20000000000000007,1.3499999999999999,1.0499999999999998,121.69708392258144,True
0.4,0.18,0.4,0.75,0.75,38.60563548140518,True
0.4,0.18,0.4,0.75,0.85,44.05518778185811,True
0.4,0.18,0.4,0.75,0.95,58.138081578382526,True
0.4,0.18,0.4,0.75,1.0499999999999998,81.3021113930673,True
0.4,0.18,0.4,0.95,0.75,58.455024083224714,True
0.4,0.18,0.4,0.95,0.85,72.41522514607539,True
0.4,0.18,0.4,0.95,0.95,85.33779852739349,True
0.4,0.18,0.4,0.95,1.0499999999999998,105.92529717766423,True
0.4,0.18,0.4,1.15,0.75,82.48318910279413,True
0.4,0.18,0.4,1.15,0.85,96.6026286057176,True
0.4,0.18,0.4,1.15,0.95,106.78624244461236,True
0.4,0.18,0.4,1.15,1.0499999999999998,124.66128422925999,True
0.4,0.18,0.4,1.3499999999999999,0.75,103.7532023804274,True
0.4,0.18,0.4,1.3499999999999999,0.85,115.56044024417527,True
0.4,0.18,0.4,1.3499999999999999,0.95,123.07120178264586,True
0.4,0.18,0.4,1.3499999999999999,1.0499999999999998,138.61484140294053,True
