pressure,diameter,alpha,beta,gamma,error,converged
0.4,0.18,-0.4,0.75,0.75,114.54016222308705,True
0.4,0.18,-0.4,0.75,0.85,104.10950149559903,True
0.4,0.18,-0.4,0.75,0.95,97.21598310422212,True
0.4,0.18,-0.4,0.75,1.0499999999999998,92.33709169404005,True
0.4,0.18,-0.4,0.95,0.75,94.5981472334766,True
0.4,0.18,-0.4,0.95,0.85,83.10455945935485,True
0.4,0.18,-0.4,0.95,0.95,75.37140916363977,True
0.4,0.18,-0.4,0.95,1.0499999999999998,69.9573193926568,True
0.4,0.18,-0.4,1.15,0.75,71.17521094261753,True
0.4,0.18,-0.4,1.15,0.85,58.90824498636392,True
0.4,0.18,-0.4,1.15,0.95,50.941462566717654,True
0.4,0.18,-0.4,1.15,1.0499999999999998,46.77269402603806,False
0.4,0.18,-0.4,1.3499999999999999,0.75,45.328360429010964,True
0.4,0.18,-0.4,1.3499999999999999,0.85,33.46047775294276,True
0.4,0.18,-0.4,1.3499999999999999,0.95,28.753281353136884,True
0.4,0.18,-0.4,1.3499999999999999,1.0499999999999998,29.40923982379122,True
0.4,0.18,-0.2,0.75,0.75,87.89879271960814,True
0.4,0.18,-0.2,0.75,0.85,75.55876375926022,True
0.4,0.18,-0.2,0.75,0.95,67.20868692379734,True
0.4,0.18,-0.2,0.75,1.0499999999999998,61.69135766546234,True
0.4,0.18,-0.2,0.95,0.75,60.725382149197024,True
0.4,0.18,-0.2,0.95,0.85,47.69731132974142,True
0.4,0.18,-0.2,0.95,0.95,39.99047216970345,True
0.4,0.18,-0.2,0.95,1.0499999999999998,36.98778362399048,True
0.4,0.18,-0.2,1.15,0.75,30.65927341965099,True
0.4,0.18,-0.2,1.15,0.85,20.504982163175978,True
0.4,0.18,-0.2,1.15,0.95,19.257902958386726,True
0.4,0.18,-0.2,1.15,1.0499999999999998,23.32204878539592,True
0.4,0.18,-0.2,1.3499999999999999,0.75,19.29940393767191,True
0.4,0.18,-0.2,1.3499999999999999,0.85,26.450124297352744,True
0.4,0.18,-0.2,1.3499999999999999,0.95,36.69563287646909,True
0.4,0.18,-0.2,1.3499999999999999,1.0499999999999998,47.588758138303774,True
0.4,0.18,0.0,0.75,0.75,53.98523738239379,True
0.4,0.18,0.0,0.75,0.85,41.178144036884156,True
0.4,0.18,0.0,0.75,0.95,34.728405584829176,True
0.4,0.18,0.0,0.75,1.0499999999999998,33.31042429771456,True
0.4,0.18,0.0,0.95,0.75,24.68545898629483,True
0.4,0.18,0.0,0.95,0.85,19.3408460067376,True
0.4,0.18,0.0,0.95,0.95,23.6578793245211,True
0.4,0.18,0.0,0.95,1.0499999999999998,32.50095420481658,True
0.4,0.18,0.0,1.15,0.75,33.695931578063444,True
0.4,0.18,0.0,1.15,0.85,41.57520879535151,True
0.4,0.18,0.0,1.15,0.95,51.83202084185405,True
0.4,0.18,0.0,1.15,1.0499999999999998,62.57657209351354,True
0.4,0.18,0.0,1.3499999999999999,0.75,62.84720190518982,True
0.4,0.18,0.0,1.3499999999999999,0.85,70.64689591752301,True
0.4,0.18,0.0,1.3499999999999999,0.95,80.00563287347164,True
0.4,0.18,0.0,1.3499999999999999,1.0499999999999998,89.64364294177778,True
0.4,0.18,0.20000000000000007,0.75,0.75,24.341953938397285,True
0.4,0.18,0.20000000000000007,0.75,0.85,23.318992546060528,True
0.4,0.18,0.20000000000000007,0.75,0.95,30.3355633416104,True
0.4,0.18,0.20000000000000007,0.75,1.0499999999999998,40.19904805336344,True
0.4,0.18,0.20000000000000007,0.95,0.75,41.55822677033785,True
0.4,0.18,0.20000000000000007,0.95,0.85,49.59556835163945,True
0.4,0.18,0.20000000000000007,0.95,0.95,59.73706112641239,True
0.4,0.18,0.20000000000000007,0.95,1.0499999999999998,70.29711134144169,True
0.4,0.18,0.20000000000000007,1.15,0.75,70.3022883470202,True
0.4,0.18,0.20000000000000007,1.15,0.85,77.83758668082179,True
0.4,0.18,0.20000000000000007,1.15,0.95,86.91549037800088,True
0.4,0.18,0.20000000000000007,1.15,1.0499999999999998,96.28164639616581,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.75,94.51418388130442,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.85,100.60244942151274,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.95,108.27705631116784,True
0.4,0.18,0.20000000000000007,1.3499999999999999,1.0499999999999998,116.3478929440161,True
0.4,0.18,0.4,0.75,0.75,46.278982953424254,True
0.4,0.18,0.4,0.75,0.85,54.36418050264621,True
0.4,0.18,0.4,0.75,0.95,64.41159009466851,True
0.4,0.18,0.4,0.75,1.0499999999999998,74.84017448691198,True
0.4,0.18,0.4,0.95,0.75,74.7229870472939,True
0.4,0.18,0.4,0.95,0.85,82.0866527114304,True
0.4,0.18,0.4,0.95,0.95,90.98313438064258,True
0.4,0.18,0.4,0.95,1.0499999999999998,100.17431236558058,True
0.4,0.18,0.4,1.15,0.75,98.33142878000899,True
0.4,0.18,0.4,1.15,0.85,104.21623401873092,True
0.4,0.18,0.4,1.15,0.95,111.70363613954015,True
0.4,0.18,0.4,1.15,1.0499999999999998,119.60511230802909,True
0.4,0.18,0.4,1.3499999999999999,0.75,116.6481870754957,True
0.4,0.18,0.4,1.3499999999999999,0.85,121.11074240382732,True
0.4,0.18,0.4,1.3499999999999999,0.95,127.34331381138327,True
0.4,0.18,0.4,1.3499999999999999,1.0499999999999998,134.1431394136075,True
